"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"	"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"
"ENSG00000005206.17_SPPL2B"	0	0	0	0	0	0
"ENSG00000005238.20_FAM214B"	0	0	0	0	0	0
"ENSG00000005243.10_COPZ2"	0	0	0	0	0	0
"ENSG00000005249.13_PRKAR2B"	0	0.419297234095487	0	0	0.721818879704733	0
"ENSG00000005302.19_MSL3"	0	0	0	0	0	0
"ENSG00000005339.15_CREBBP"	0	0	0	0	0	0
"ENSG00000005379.17_TSPOAP1"	0	-0.89755524517247	3.23927486808931	0	-0.586881429707456	0
"ENSG00000005381.8_MPO"	0	-0.447154159237189	0	0	-0.872628106576733	0
"ENSG00000005421.9_PON1"	0	1.64532711017245	NA	0	0	0
"ENSG00000005436.14_GCFC2"	-1.20018012846936	0	-1.19525244968942	0	0	0
"ENSG00000005448.17_WDR54"	0	0.29167605363507	0	0	0	0
"ENSG00000005469.12_CROT"	0	0	0	0	0	0
"ENSG00000005471.19_ABCB4"	0	0	0	0	-0.539434408665276	0
"ENSG00000005483.21_KMT2E"	0	-0.257954131989439	0	0	0	0
"ENSG00000005486.17_RHBDD2"	0	0	0	0	0	0
"ENSG00000005513.10_SOX8"	0	0	0	0	1.28676821028572	0
"ENSG00000005700.15_IBTK"	0	0.213905156050826	-1.08248881043313	0	0.291231420745256	0
"ENSG00000005801.18_ZNF195"	0	0	0	0	0	0
"ENSG00000005810.18_MYCBP2"	-1.10531766330749	-0.226589413989688	0	0	0	0
"ENSG00000005812.11_FBXL3"	0	-0.303394580804531	0	0	0	0
"ENSG00000005844.19_ITGAL"	0	0.532208634697919	0	0	0.488649963737115	0
"ENSG00000005882.12_PDK2"	0	-0.279546038551279	0	0	0	0
"ENSG00000005884.18_ITGA3"	0	0	0	0	0	0
"ENSG00000005889.16_ZFX"	-0.802697821966354	0	0	0	0	0
"ENSG00000005893.16_LAMP2"	0	-0.263196592112194	0	0	-0.205846281876365	0
"ENSG00000005961.19_ITGA2B"	0	0	0	0	0.533528930210357	0
"ENSG00000005981.13_ASB4"	0	0.701748288790235	0	0	0	0
"ENSG00000006007.12_GDE1"	0	0	0	0	0	0
"ENSG00000006015.18_REX1BD"	0	0	0	0	0	0
"ENSG00000006016.11_CRLF1"	0	0	0	0	0	0
"ENSG00000006025.12_OSBPL7"	0	0	0	0	0	0
"ENSG00000006042.12_TMEM98"	0	0	0	0	0	0
"ENSG00000006047.13_YBX2"	0	0	0	0	0	0
"ENSG00000006059.4_KRT33A"	NA	NA	NA	NA	NA	NA
"ENSG00000006062.17_MAP3K14"	1.0842052303138	0	0.951785765780693	0	0	0
"ENSG00000006071.15_ABCC8"	0	1.15597982206225	0	0	0	0
"ENSG00000006116.4_CACNG3"	NA	NA	NA	NA	NA	NA
"ENSG00000006118.15_TMEM132A"	0	0	0	0	0	0
"ENSG00000006125.18_AP2B1"	0	0.176127264626828	0	0	0	0
"ENSG00000006128.12_TAC1"	0	-1.08177559619148	0	0	-1.22236200386996	0
"ENSG00000006194.10_ZNF263"	0	-0.140424143951436	0	0	-0.251098593069288	0
"ENSG00000006210.7_CX3CL1"	0	0.555815376881408	0	0	0.59541265883286	0
"ENSG00000006282.21_SPATA20"	0	0.317406174698887	0	0	0	0
"ENSG00000006283.18_CACNA1G"	0	0	NA	0	-0.544159069966736	0
"ENSG00000006327.14_TNFRSF12A"	0	0	0	0	0	0
"ENSG00000006377.11_DLX6"	0	0	0	0	0	0
"ENSG00000006432.15_MAP3K9"	0	0	0	0	0.234146464435668	0
"ENSG00000006451.8_RALA"	0	-0.209183036680488	0	0	0	0
"ENSG00000006453.14_BAIAP2L1"	0	0	0	0	0	0
"ENSG00000006459.11_KDM7A"	0	0	0	0	0	0
"ENSG00000006468.14_ETV1"	0	0	0	0	0.466910546181858	0
"ENSG00000006530.18_AGK"	0	-0.166467912457311	0	0	0	0
"ENSG00000006534.16_ALDH3B1"	0	0	0	0	0	0
"ENSG00000006555.11_TTC22"	0	0	0	0	0	0
"ENSG00000006576.16_PHTF2"	0	0	0	0	0	0
"ENSG00000006606.9_CCL26"	0	1.3356794802741	0	0	1.38792285150005	0
"ENSG00000006607.14_FARP2"	0	0	0	0	0	0
"ENSG00000006611.17_USH1C"	0	0	0	0	0	0
"ENSG00000006625.18_GGCT"	0	-0.207132173251262	0	0	0	0
"ENSG00000006634.8_DBF4"	0	0	0	0	0	0
"ENSG00000006638.13_TBXA2R"	0	0	0	0	0	0
"ENSG00000006652.15_IFRD1"	0	-0.482398412602334	0	0	0	0
"ENSG00000006659.13_LGALS14"	0	0	NA	NA	-1.50872443858678	NA
"ENSG00000006695.12_COX10"	0	0.266094075872698	0	0	0.199457324562091	0
"ENSG00000006704.11_GTF2IRD1"	0	-0.330414776758959	0	0	-0.376368212111426	0
"ENSG00000006712.15_PAF1"	0	0.192069772086315	0	0	0	0
"ENSG00000006715.16_VPS41"	0	-0.29063574186102	0	0	-0.240887222562966	0
"ENSG00000006740.17_ARHGAP44"	0	0	0	0	0	0
"ENSG00000006744.19_ELAC2"	0	0.269841616857723	0	0	0.204727219400983	0
"ENSG00000006747.15_SCIN"	0	0	0	0	0.747481746971065	0
"ENSG00000006756.16_ARSD"	0	0	0	0	-0.242474807433375	0
"ENSG00000006757.12_PNPLA4"	0	0	0	0	0	0
"ENSG00000006788.14_MYH13"	0	0	NA	0	0.752541160495415	0
"ENSG00000006831.10_ADIPOR2"	0	0	0	0	0	0
"ENSG00000006837.12_CDKL3"	0	-0.291520185124064	0	0	-0.32426912585157	0
"ENSG00000007001.13_UPP2"	-2.79540592214884	-0.640790179951113	NA	NA	0	NA
"ENSG00000007038.11_PRSS21"	NA	NA	NA	0	0	0
"ENSG00000007047.15_MARK4"	0	0	0.846027361192374	0	0	0
"ENSG00000007062.12_PROM1"	0	0	0	0	0	0
"ENSG00000007080.11_CCDC124"	1.20859796879885	0	1.14666335997355	0	0	0
"ENSG00000007129.18_CEACAM21"	0	0	0	0	0	0
"ENSG00000007168.14_PAFAH1B1"	0	0	0	0	0.206115683644874	0
"ENSG00000007171.18_NOS2"	0	0.61271745091109	0	0	0.954831597345922	0
"ENSG00000007174.18_DNAH9"	0	0	0	0	0	0
"ENSG00000007202.15_KIAA0100"	0	0.159874544417298	0	0	0.172100675246119	0
"ENSG00000007216.15_SLC13A2"	0	0	0	0	0	0
"ENSG00000007237.19_GAS7"	0	0	0	0	0	0
"ENSG00000007255.10_TRAPPC6A"	0	0	0	0	-0.478440553112593	0
"ENSG00000007264.15_MATK"	0	0.538455486287832	0	0	0.570389458524062	0
"ENSG00000007306.15_CEACAM7"	0	0	0	0	1.17706570410423	0
"ENSG00000007312.13_CD79B"	0	0.793938683139585	0	0	0	0
"ENSG00000007314.12_SCN4A"	0	0	NA	0	-0.638372128318519	0
"ENSG00000007341.19_ST7L"	0	0	0	0	0	0
"ENSG00000007350.17_TKTL1"	0	-2.2901193110161	5.70615686317021	0	0	0
"ENSG00000007372.24_PAX6"	0	0	0	0	0	0
"ENSG00000007376.8_RPUSD1"	0	0	0	0	0	0
"ENSG00000007384.15_RHBDF1"	0	-0.32161834982245	1.11885144667829	0	0	0
"ENSG00000007392.17_LUC7L"	0	0	0	0	0	0
"ENSG00000007402.12_CACNA2D2"	0	0.731765687510501	0	0	0	0
"ENSG00000007516.14_BAIAP3"	0	0	0	0	0	0
"ENSG00000007520.4_TSR3"	0	0	0	0	0	0
"ENSG00000007541.17_PIGQ"	0	0	0	0	0	0
"ENSG00000007545.16_CRAMP1"	0	0	0	0	0	0
"ENSG00000007866.22_TEAD3"	0	-0.233158177437632	0.838324958966304	0	0	0
"ENSG00000007908.16_SELE"	0	0	0	0	0	0
"ENSG00000007923.16_DNAJC11"	0	0.217823811473564	0	0	0.21367294688343	0
"ENSG00000007933.13_FMO3"	0	0	0	0	0	0
"ENSG00000007944.15_MYLIP"	0	0	0	0	-0.331742766014545	0
"ENSG00000007952.18_NOX1"	0	0	0	0	-0.703720727451733	0
