"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"	"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"
"ENSG00000005243.10_COPZ2"	0	0	0	0	0	0
"ENSG00000005249.13_PRKAR2B"	0	0	0	0	0	0
"ENSG00000005302.19_MSL3"	0	0	0	0	0	0
"ENSG00000005339.15_CREBBP"	0	0	0	0	0	0
"ENSG00000005379.17_TSPOAP1"	0	0	0	0	0	0
"ENSG00000005381.8_MPO"	0	0	0	0	0	0
"ENSG00000005421.9_PON1"	0	-0.575528466516902	0	0	-0.608531765677594	0
"ENSG00000005436.14_GCFC2"	0	-0.242714005609386	0	0	0	0
"ENSG00000005448.17_WDR54"	0	0	0	0	0	0
"ENSG00000005469.12_CROT"	0	0	0	0	0	0
"ENSG00000005471.19_ABCB4"	0	0	0	0	0	0
"ENSG00000005483.21_KMT2E"	0	0	0	0	0	0
"ENSG00000005486.17_RHBDD2"	0	0	0	0	0	0
"ENSG00000005513.10_SOX8"	0	0	0	1.62598772119251	0.488164544759554	0
"ENSG00000005700.15_IBTK"	0	0	0	0	0	0
"ENSG00000005801.18_ZNF195"	0	0	0	0	0	0
"ENSG00000005810.18_MYCBP2"	0	0	0	0	0	0
"ENSG00000005812.11_FBXL3"	0	0.168643128101817	0	0	0	0
"ENSG00000005844.19_ITGAL"	0	0	0	0	0	0
"ENSG00000005882.12_PDK2"	0	0	0	0	0	0
"ENSG00000005884.18_ITGA3"	0	0	0	0	0	0
"ENSG00000005889.16_ZFX"	0	0	0	0	0	0
"ENSG00000005893.16_LAMP2"	0	-0.204292876955914	0	0	-0.301740151740961	0
"ENSG00000005961.19_ITGA2B"	0	-0.752858628452723	0	0	-1.22136587212448	0
"ENSG00000005981.13_ASB4"	0	0	0	0	0.622199247569846	0
"ENSG00000006007.12_GDE1"	0	0	0	0	0	0
"ENSG00000006015.18_REX1BD"	0	0	0	0	0	0
"ENSG00000006016.11_CRLF1"	0	0	0	0	0	0
"ENSG00000006025.12_OSBPL7"	0	0.40925293340967	0	0	0.397701927615408	0
"ENSG00000006042.12_TMEM98"	0	0	0	0	0.357070269870442	0
"ENSG00000006047.13_YBX2"	0	-1.41852129846703	0	0	-0.679499941406713	0
"ENSG00000006059.4_KRT33A"	NA	0	NA	NA	-2.27290601610948	NA
"ENSG00000006062.17_MAP3K14"	0	0	0	0	0	0
"ENSG00000006071.15_ABCC8"	0	0	0	0	-1.33516662373873	2.79994921108197
"ENSG00000006116.4_CACNG3"	NA	0	NA	NA	0	NA
"ENSG00000006118.15_TMEM132A"	0	-0.351941037906813	0	0	-0.457520930741178	0
"ENSG00000006125.18_AP2B1"	0	0	0	0	0	0
"ENSG00000006128.12_TAC1"	NA	NA	NA	0	0	0
"ENSG00000006194.10_ZNF263"	0	0	0	0	0	0
"ENSG00000006210.7_CX3CL1"	0	0	0	0	0	0
"ENSG00000006282.21_SPATA20"	0	0	0	0	0	0
"ENSG00000006283.18_CACNA1G"	0	0	0	0	-0.657636663361369	0
"ENSG00000006327.14_TNFRSF12A"	0	-0.383063147440087	0	0	0	0
"ENSG00000006377.11_DLX6"	0	0	0	0	0	0
"ENSG00000006432.15_MAP3K9"	0	-0.243941582236454	0	0	-0.307111302421214	0
"ENSG00000006451.8_RALA"	0	0	0	0	0	0
"ENSG00000006453.14_BAIAP2L1"	0	0	0	0	0	0
"ENSG00000006459.11_KDM7A"	0	0	0	0	0	0
"ENSG00000006468.14_ETV1"	0	0.466459350011371	0	0	0	0
"ENSG00000006530.18_AGK"	0	-0.181955486018043	0	0	-0.164196924270234	0
"ENSG00000006534.16_ALDH3B1"	0	0.361790439455278	0	0	0.765349947253751	0
"ENSG00000006555.11_TTC22"	0	0.227182183172603	0	0	0.415922999995578	0
"ENSG00000006576.16_PHTF2"	0	-0.366149483275289	0	0	-0.409112148687475	0
"ENSG00000006606.9_CCL26"	0	0	0	0	-0.57285176660472	0
"ENSG00000006607.14_FARP2"	0	0	0	0	0	0
"ENSG00000006611.17_USH1C"	3.74171282128649	0.735832828470194	0	5.38889120738893	1.80845649742328	3.58043470996564
"ENSG00000006625.18_GGCT"	0	-0.376726472534056	0	0	0	0
"ENSG00000006634.8_DBF4"	0	-0.376233472802868	0	0	-0.448993918725677	0
"ENSG00000006638.13_TBXA2R"	0	0	0	0	0	0
"ENSG00000006652.15_IFRD1"	0	-0.400869061990086	0	0	0	0
"ENSG00000006659.13_LGALS14"	NA	0	NA	NA	NA	NA
"ENSG00000006695.12_COX10"	0	0	0	0	0	0
"ENSG00000006704.11_GTF2IRD1"	0	-0.349879978210851	0	0	0	0
"ENSG00000006712.15_PAF1"	0	0	0	0	0	0
"ENSG00000006715.16_VPS41"	0	-0.186584795253728	0	0	0	0
"ENSG00000006740.17_ARHGAP44"	0	0.454586982849742	0	0	0.513371200442371	0
"ENSG00000006744.19_ELAC2"	0	0	0	0	0	0
"ENSG00000006747.15_SCIN"	0	0	0	0	0	0
"ENSG00000006756.16_ARSD"	0	0	0	0	0.440732250347527	0
"ENSG00000006757.12_PNPLA4"	0	0	0	0	0.269988901585414	0
"ENSG00000006788.14_MYH13"	0	0	0	0	-1.43210325293227	0
"ENSG00000006831.10_ADIPOR2"	0	0	0	0	0	0
"ENSG00000006837.12_CDKL3"	0	0	0	0	0	0
"ENSG00000007001.13_UPP2"	0	0	0	0	0	0
"ENSG00000007038.11_PRSS21"	0	0	0	0	0	0
"ENSG00000007047.15_MARK4"	0	0	0	0	0	0
"ENSG00000007062.12_PROM1"	0	0	0	0	0	0
"ENSG00000007080.11_CCDC124"	0	0	0	0	0	0
"ENSG00000007129.18_CEACAM21"	0	0.451545558837137	0	0	0	0
"ENSG00000007168.14_PAFAH1B1"	0	0	0	0	0.142576681613384	0
"ENSG00000007171.18_NOS2"	NA	NA	NA	0	-0.918988144465424	0
"ENSG00000007174.18_DNAH9"	0	0	0	0	2.02724099765875	-2.5998119491431
"ENSG00000007202.15_KIAA0100"	0	0	0	0	0	0
"ENSG00000007216.15_SLC13A2"	0	0.943572108117383	0	0	0	0
"ENSG00000007237.19_GAS7"	0	0	0	0	0	0
"ENSG00000007255.10_TRAPPC6A"	0	0	0	0	0	0
"ENSG00000007264.15_MATK"	0	0.394374710687001	0	0	0	0
"ENSG00000007306.15_CEACAM7"	0	0	0	0	-0.721783075319536	0
"ENSG00000007312.13_CD79B"	0	0	0	0	0	0
"ENSG00000007314.12_SCN4A"	0	-1.34271369795696	0	2.45966062929843	0	2.42649101638399
"ENSG00000007341.19_ST7L"	0	0	0	0	0	0
"ENSG00000007350.17_TKTL1"	0	0	0	0	-1.80573463748684	0
"ENSG00000007372.24_PAX6"	0	0.880283154428304	0	NA	1.21209418762955	NA
"ENSG00000007376.8_RPUSD1"	0	0	0	0	0	0
"ENSG00000007384.15_RHBDF1"	0	0	0	0	0	0
"ENSG00000007392.17_LUC7L"	0	0	0	0	0	0
"ENSG00000007402.12_CACNA2D2"	0	0.857783091822788	0	0	0.689687807646734	0
"ENSG00000007516.14_BAIAP3"	0	0	0	0	0	0
"ENSG00000007520.4_TSR3"	0	0	0	0	0	0
"ENSG00000007541.17_PIGQ"	0	0	0	0	0	0
"ENSG00000007545.16_CRAMP1"	0	0	0	0	0	0
"ENSG00000007866.22_TEAD3"	0	0	0	0	0	0
"ENSG00000007908.16_SELE"	0	0	0	0	0.714114964826958	0
"ENSG00000007923.16_DNAJC11"	0	0	0	0	0	0
"ENSG00000007933.13_FMO3"	0	0	0	0	-0.435123084103578	0
"ENSG00000007944.15_MYLIP"	0	0	0	0	0	0
"ENSG00000007952.18_NOX1"	0	0	0	0	0	0
"ENSG00000007968.7_E2F2"	0	-0.488314665230384	0	0	0	0
"ENSG00000008018.9_PSMB1"	0	0	0	0	0	0
"ENSG00000008056.14_SYN1"	0	0	0	0	0	0
"ENSG00000008083.14_JARID2"	0	0	0	0	0	0
"ENSG00000008086.13_CDKL5"	0	0	0	0	0.372169155095424	0
"ENSG00000008118.10_CAMK1G"	0	0	0	0	0	0
"ENSG00000008128.23_CDK11A"	0	0	0	0	0	0
"ENSG00000008130.15_NADK"	0	0	0	0	0	0
"ENSG00000008196.13_TFAP2B"	NA	NA	NA	0	-1.98173224802076	0
"ENSG00000008197.5_TFAP2D"	0	0	0	0	0	0
"ENSG00000008226.20_DLEC1"	0	0.569433723612499	0	0	1.44303148966242	0
"ENSG00000008256.16_CYTH3"	0	-0.415615407541559	0	0	-0.378623283707608	0
"ENSG00000008277.14_ADAM22"	0	-0.364430374647956	0	0	0	0
"ENSG00000008282.9_SYPL1"	0	0	0	0	0	0
"ENSG00000008283.16_CYB561"	0	0	0	0	0	0
"ENSG00000008294.21_SPAG9"	0	0	0	0	0	0
"ENSG00000008300.17_CELSR3"	0	0	0	0	0	0
"ENSG00000008311.15_AASS"	0	0.62496910804174	0	0	0	0
"ENSG00000008323.15_PLEKHG6"	0	-0.347898805080851	0	0	0	0
"ENSG00000008324.12_SS18L2"	0	0	0	0	0	0
"ENSG00000008382.16_MPND"	0	0	0	0	0	0
"ENSG00000008394.13_MGST1"	0	0	0	0	0	0
"ENSG00000008405.12_CRY1"	0	0	0	0	0	0
"ENSG00000008438.5_PGLYRP1"	0	0.451428438113128	0	NA	0	0
"ENSG00000008441.18_NFIX"	0	0.524726435568802	0	0	0.351482532273179	0
"ENSG00000008513.16_ST3GAL1"	0	0	0	0	0	0
"ENSG00000008516.17_MMP25"	0	0	0	0	0	0
"ENSG00000008517.18_IL32"	0	0	0	0	0	0
"ENSG00000008710.20_PKD1"	0	0	0	0	0	0
"ENSG00000008735.14_MAPK8IP2"	0	0	0	0	-0.546022680814604	0
"ENSG00000008838.20_MED24"	0	0	0	0	0	0
"ENSG00000008853.17_RHOBTB2"	0	0.588086401421567	0	0	0.717345909194952	0
"ENSG00000008869.12_HEATR5B"	0	0	0	0	0	0
"ENSG00000008952.17_SEC62"	0	0	0	0	0	0
"ENSG00000008988.11_RPS20"	0	0	0	0	0	0
"ENSG00000009307.16_CSDE1"	0	0	0	0	0	0
"ENSG00000009335.18_UBE3C"	0	0	0	0	0	0
"ENSG00000009413.16_REV3L"	0	0	0	0	0	0
"ENSG00000009694.13_TENM1"	NA	NA	NA	3.87101636539235	0	3.74727558438122
