"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"	"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"
"Total"	"60660"	"60660"	"60660"	"60660"	"60660"	"60660"
"NA"	"29601"	"20904"	"29601"	"35634"	"21339"	"33435"
"Non-significatif"	"30952"	"29489"	"31013"	"24395"	"31748"	"26238"
"Significatif"	"107"	"10267"	"46"	"631"	"7573"	"987"
"UpRegulation"	"65"	"3449"	"27"	"460"	"3025"	"619"
"DownRegulation"	"42"	"6818"	"19"	"171"	"4548"	"368"
