"LUAD_NORMAL_DEEP"	"LUAD_NORMAL_SHALLOW"	"LUAD_SHALLOW_DEEP"	"LUAD_MALE_FEMALE"	"LUAD_MALE_NORMAL_DEEP"	"LUAD_MALE_NORMAL_SHALLOW"	"LUAD_MALE_SHALLOW_DEEP"	"LUAD_FEMALE_NORMAL_DEEP"	"LUAD_FEMALE_NORMAL_SHALLOW"	"LUAD_FEMALE_SHALLOW_DEEP"
"ENSG00000004948.16_CALCR"	0	0	0	0	0	0	0	0	0	0
"ENSG00000004961.15_HCCS"	0	0	0	0	0	0	0	0	0	0
"ENSG00000004975.12_DVL2"	0	0	0	0.17216550020332	0	0	0	0	0	0
"ENSG00000005001.10_PRSS22"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005007.13_UPF1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005020.13_SKAP2"	0	-0.314981478087825	0	0	0	0	0	0	0	0
"ENSG00000005022.6_SLC25A5"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005059.16_MCUB"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005073.6_HOXA11"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005075.15_POLR2J"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005100.13_DHX33"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005102.14_MEOX1"	0	0	0	-1.0909868333518	0	0	0	0	0	0
"ENSG00000005108.16_THSD7A"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005156.12_LIG3"	0	-0.183580792312248	0	0	0	0	0	0	-0.259525646580006	0
"ENSG00000005175.10_RPAP3"	0	-0.13779752255176	0	0	0	0	0	0	0	0
"ENSG00000005187.12_ACSM3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005189.20_REXO5"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005194.15_CIAPIN1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005206.17_SPPL2B"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005238.20_FAM214B"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005243.10_COPZ2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005249.13_PRKAR2B"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005302.19_MSL3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005339.15_CREBBP"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005379.17_TSPOAP1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005381.8_MPO"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005421.9_PON1"	0	-0.579742472738367	0	0	0	0	0	0	0	0
"ENSG00000005436.14_GCFC2"	0	0	0	0	0	0	0	0	-0.242714005609386	0
"ENSG00000005448.17_WDR54"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005469.12_CROT"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005471.19_ABCB4"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005483.21_KMT2E"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005486.17_RHBDD2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005513.10_SOX8"	0	0	0	-1.04791944587038	0	0	0	0	0	0
"ENSG00000005700.15_IBTK"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005801.18_ZNF195"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005810.18_MYCBP2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005812.11_FBXL3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005844.19_ITGAL"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005882.12_PDK2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005884.18_ITGA3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000005889.16_ZFX"	0	0	0	-0.509524374957977	0	0	0	0	0	0
"ENSG00000005893.16_LAMP2"	0	-0.249392675346482	0	0	0	-0.301740151740961	0	0	0	0
"ENSG00000005961.19_ITGA2B"	0	-0.958566919904299	0	0	0	-1.22136587212448	0	0	-0.752858628452723	0
"ENSG00000005981.13_ASB4"	0	0.834216450718566	0	1.05062501392478	0	1.14534692446375	0	0	0	0
"ENSG00000006007.12_GDE1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006015.18_REX1BD"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006016.11_CRLF1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006025.12_OSBPL7"	0	0.404734647316668	0	0	0	0	0	0	0.40925293340967	0
"ENSG00000006042.12_TMEM98"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006047.13_YBX2"	0	-1.0111248195129	0	0	0	0	0	0	-1.41852129846703	0
"ENSG00000006059.4_KRT33A"	0	2.82666384579145	0	0	0	0	0	20.8793016593115	6.19829346578585	14.6810081935257
"ENSG00000006062.17_MAP3K14"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006071.15_ABCC8"	0	0	0	0.810910633924129	0	0	0	0	0	0
"ENSG00000006116.4_CACNG3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006118.15_TMEM132A"	0	-0.399538271856037	0	0	0	0	0	0	0	0
"ENSG00000006125.18_AP2B1"	0	0	0	0	0	0	0	0	0	0
